timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T17:16:25,gcn,machine-2-2,ok,0,15.573,99.0,0.341182,0.363294,0.197135,0.255583,1591,2932,results/logs/gcn__machine-2-2.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-2",
2026-04-20T17:16:41,gcn,machine-2-3,ok,0,18.092,99.0,1.071563,0.64042,0.679666,0.659459,381,359,results/logs/gcn__machine-2-3.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-3",
2026-04-20T17:16:59,gcn,machine-2-4,ok,0,17.841,99.9,1.671826,0.955923,0.185165,0.310237,363,1874,results/logs/gcn__machine-2-4.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-4",
2026-04-20T17:17:17,gcn,machine-2-5,ok,0,13.248,99.0,0.683369,0.714834,0.478186,0.573039,782,1169,results/logs/gcn__machine-2-5.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-5",
2026-04-20T17:17:30,gcn,machine-2-6,ok,0,19.925,99.9,0.796113,0.111748,0.476578,0.181044,2094,491,results/logs/gcn__machine-2-6.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-6",
2026-04-20T17:17:50,gcn,machine-2-7,ok,0,15.904,99.0,0.719085,0.875269,0.681742,0.766478,465,597,results/logs/gcn__machine-2-7.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-7",
2026-04-20T17:18:06,gcn,machine-2-8,ok,0,17.985,99.9,0.748748,0.09911,0.982353,0.180054,1685,170,results/logs/gcn__machine-2-8.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-8",
2026-04-20T17:18:24,gcn,machine-2-9,ok,0,22.131,99.9,1.893154,0.820103,0.862331,0.840687,1940,1845,results/logs/gcn__machine-2-9.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-9",
2026-04-20T17:18:46,gcn,machine-3-1,ok,0,23.124,99.9,1.033035,0.420221,0.773256,0.544524,633,344,results/logs/gcn__machine-3-1.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-1",
2026-04-20T17:19:09,gcn,machine-3-10,ok,0,18.101,99.0,0.567331,0.947635,0.481959,0.638952,592,1164,results/logs/gcn__machine-3-10.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-10",
2026-04-20T17:19:27,gcn,machine-3-11,ok,0,20.907,99.9,8.164049,0.02646,0.964444,0.051507,8201,225,results/logs/gcn__machine-3-11.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-11",
2026-04-20T17:19:48,gcn,machine-3-2,ok,0,19.427,99.0,0.383195,0.151899,0.020017,0.035372,158,1199,results/logs/gcn__machine-3-2.log,"python train_gcn.py --window 10 --stride 1 --val-ratio 0.1 --corr-threshold 0.8 --corr-top-k 6 --hidden-dim 32 --embed-dim 8 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-2",
